full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H
"       (2003 SM84)",1.125361187341484,.08194736930020113,2.795554717366854,186.6771806491323,87.37360784618225,1.033140798526298,1.217581576156669,1.19383993205189,4459,1,100,,,22.7
"       (2003 WE)",1.198787336837569,.2416536054346313,5.36930334012633,58.40748703095165,285.250537125632,.9090960547413908,1.488478618933747,1.31256682204093,10,7,59,,,24.6
"       (2003 YS70)",1.287618293977882,.236743743116574,.3533017947980042,271.3920688928702,195.8293417302179,.9827827193561812,1.592453868599583,1.46113017486595,5,5,77,,,29.1
"       (2004 AD)",1.25880055833825,.2629799638190111,7.306480047838721,110.5485609971616,302.4610729611546,.9277612330511061,1.589839883625394,1.41235409205664,26,4,86,0,1,24.4
"       (2004 EO20)",1.219513265921307,.05523108875567625,4.541838304587756,179.8274483532874,84.15181899600832,1.152158220492483,1.286868311350131,1.346753136584,5698,1,69,,,22.5
"       (2004 EU22)",1.176478503809874,.1631282961946119,5.336882986901693,175.6802288001862,328.6722626700622,.9845615699737826,1.368395437645964,1.27609849576269,5142,0,203,,,23.7
"       (2004 FN8)",1.16891554003379,.1446196616129143,5.258846337579634,4.085806713503415,159.7941754146169,.9998673701800266,1.337963709887554,1.26381323993696,6,7,27,,,27.1
"       (2004 FM32)",1.0986735124345,.1623514543839855,3.755970716972027,184.0252194866324,298.5287824913898,.9203022697975972,1.277044755071403,1.15162526426275,15,6,33,,,27.1
"       (2004 HQ1)",1.109606842069201,.2706275015714158,4.417676251160363,29.48929434269113,93.41862974683733,.8093167146734643,1.409896969464937,1.16885837054316,30,6,65,,,23.1
"       (2004 JN1)",1.085071864009014,.1755188706089315,1.49980750342286,143.9702721270793,2.117055884406174,.8946212759086239,1.275522452109404,1.130305799085,2756,0,85,,,23.6
"       (2004 OW10)",1.223828939985632,.2494064383756509,1.504355622577569,102.521230203047,131.0590201479417,.9185981228827671,1.529059757088496,1.3539083928597,14,7,31,,,24.5
"       (2004 SR)",1.147253290904458,.1604963536917766,8.63457174738519,354.8045806480612,297.5992210763613,.9631233209534018,1.331383260855515,1.22884518037196,17,7,75,,,23.8
"       (2004 WH1)",1.198126168085935,.2035686954951839,2.660932133743041,238.8939190803317,219.2585746384683,.9542251870100377,1.442027149161832,1.31148108922882,2,7,15,,,24.0
"       (2004 XK3)",1.227923944631903,.2603929624244093,1.48144101376422,57.92730248027377,304.677716200892,.9081811910573352,1.54766669820647,1.36070946152059,1464,0,241,,,24.4
"       (2004 XD51)",1.242839806323185,.2405348283996175,6.794944251386664,83.65044487624566,54.27226902268888,.9438935467810237,1.541786065865346,1.38557785682386,5,7,33,,,25.0
"       (2005 AJ3)",1.273935493812469,.2003050633805132,7.543178573131133,282.0442001748642,215.715010841128,1.018759763981677,1.529111223643261,1.43790223616631,9,8,30,,,23.2
